Time,IP Source,IP Destination,Attack Time
2017-04-26 18:23:28.650012,10.0.0.13,10.0.0.12,18s
2017-04-26 18:23:30.728667,10.0.0.13,10.0.0.12,20s
2017-04-26 18:23:32.813708,10.0.0.13,10.0.0.12,22s
2017-04-26 18:23:34.904214,10.0.0.13,10.0.0.12,24s
2017-04-26 18:23:36.991140,10.0.0.13,10.0.0.12,26s
2017-04-26 18:23:39.075660,10.0.0.13,10.0.0.12,28s
2017-04-26 18:23:41.156733,10.0.0.13,10.0.0.12,30s
2017-04-26 18:23:43.227002,10.0.0.13,10.0.0.12,32s
2017-04-26 18:23:47.297146,10.0.0.13,10.0.0.12,36s
2017-04-26 18:23:51.368978,10.0.0.13,10.0.0.12,40s
2017-04-26 18:23:55.445088,10.0.0.13,10.0.0.12,45s
2017-04-26 18:23:59.519686,10.0.0.13,10.0.0.12,49s
2017-04-26 18:24:03.599626,10.0.0.13,10.0.0.12,53s
2017-04-26 18:24:07.667653,10.0.0.13,10.0.0.12,57s
2017-04-26 18:26:13.889688,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:15.971728,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:18.058338,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:20.142069,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:22.227039,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:24.313967,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:26.396276,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:28.478025,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:30.558445,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:32.643776,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:34.727327,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:36.806376,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:38.884558,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:40.957781,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:43.033593,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:45.123309,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:47.211278,10.0.0.13,10.0.0.12,0s
2017-04-26 18:26:49.298009,10.0.0.13,10.0.0.12,0s
2017-04-26 18:36:46.167940,10.0.0.13,10.0.0.12,"(0, 0, 0)s"
2017-04-26 18:39:35.286876,10.0.0.13,10.0.0.12,"(0, 0, 0)s"
2017-04-26 18:39:37.375149,10.0.0.13,10.0.0.12,"(2, 0, 0)s"
2017-04-26 18:39:39.458174,10.0.0.13,10.0.0.12,"(4, 0, 0)s"
2017-04-26 18:39:41.539198,10.0.0.13,10.0.0.12,"(6, 0, 0)s"
2017-04-26 18:39:43.617920,10.0.0.13,10.0.0.12,"(8, 0, 0)s"
2017-04-26 18:39:45.697358,10.0.0.13,10.0.0.12,"(10, 0, 0)s"
2017-04-26 18:39:47.784205,10.0.0.13,10.0.0.12,"(12, 0, 0)s"
2017-04-26 18:39:49.868159,10.0.0.13,10.0.0.12,"(14, 0, 0)s"
2017-04-26 18:39:51.951350,10.0.0.13,10.0.0.12,"(16, 0, 0)s"
2017-04-26 18:39:54.042562,10.0.0.13,10.0.0.12,"(18, 0, 0)s"
2017-04-26 18:39:56.139227,10.0.0.13,10.0.0.12,"(20, 0, 0)s"
2017-04-26 18:39:58.224429,10.0.0.13,10.0.0.12,"(22, 0, 0)s"
2017-04-26 18:40:00.309135,10.0.0.13,10.0.0.12,"(25, 0, 0)s"
2017-04-26 18:40:02.401130,10.0.0.13,10.0.0.12,"(27, 0, 0)s"
2017-04-26 18:40:04.484845,10.0.0.13,10.0.0.12,"(29, 0, 0)s"
2017-04-26 18:40:06.560474,10.0.0.13,10.0.0.12,"(31, 0, 0)s"
2017-04-26 18:40:10.641047,10.0.0.13,10.0.0.12,"(35, 0, 0)s"
2017-04-26 18:40:14.722301,10.0.0.13,10.0.0.12,"(39, 0, 0)s"
2017-04-26 18:40:18.795329,10.0.0.13,10.0.0.12,"(43, 0, 0)s"
2017-04-26 18:40:22.864989,10.0.0.13,10.0.0.12,"(47, 0, 0)s"
2017-04-26 18:40:26.941703,10.0.0.13,10.0.0.12,"(51, 0, 0)s"
2017-04-26 18:40:31.010178,10.0.0.13,10.0.0.12,"(55, 0, 0)s"
2017-04-26 18:40:35.085438,10.0.0.13,10.0.0.12,"(59, 0, 0)s"
2017-04-26 18:40:39.154069,10.0.0.13,10.0.0.12,"(3, 1, 1)s"
2017-04-26 18:40:43.228939,10.0.0.13,10.0.0.12,"(7, 1, 1)s"
2017-04-26 18:40:47.297740,10.0.0.13,10.0.0.12,"(12, 1, 1)s"
2017-04-26 18:40:51.370129,10.0.0.13,10.0.0.12,"(16, 1, 1)s"
2017-04-26 18:40:55.440562,10.0.0.13,10.0.0.12,"(20, 1, 1)s"
2017-04-26 18:40:59.515234,10.0.0.13,10.0.0.12,"(24, 1, 1)s"
2017-04-26 18:41:03.589082,10.0.0.13,10.0.0.12,"(28, 1, 1)s"
2017-04-26 18:41:07.674736,10.0.0.13,10.0.0.12,"(32, 1, 1)s"
2017-04-26 18:41:11.750371,10.0.0.13,10.0.0.12,"(36, 1, 1)s"
2017-04-26 18:41:15.820260,10.0.0.13,10.0.0.12,"(40, 1, 1)s"
2017-04-26 18:41:19.890056,10.0.0.13,10.0.0.12,"(44, 1, 1)s"
2017-04-26 18:41:23.969272,10.0.0.13,10.0.0.12,"(48, 1, 1)s"
2017-04-26 18:41:28.044229,10.0.0.13,10.0.0.12,"(52, 1, 1)s"
2017-04-26 18:41:32.114967,10.0.0.13,10.0.0.12,"(56, 1, 1)s"
2017-04-26 18:41:36.194163,10.0.0.13,10.0.0.12,"(0, 2, 2)s"
2017-04-26 18:41:40.265410,10.0.0.13,10.0.0.12,"(5, 2, 2)s"
2017-04-26 18:41:42.351923,10.0.0.13,10.0.0.12,"(7, 2, 2)s"
2017-04-26 18:41:53.753811,10.0.0.13,10.0.0.12,"(0, 0, 0)s"
2017-04-26 18:41:55.834857,10.0.0.13,10.0.0.12,"(2, 0, 0)s"
2017-04-26 18:41:57.910513,10.0.0.13,10.0.0.12,"(4, 0, 0)s"
2017-04-26 18:41:59.991279,10.0.0.13,10.0.0.12,"(6, 0, 0)s"
2017-04-26 18:42:02.065056,10.0.0.13,10.0.0.12,"(8, 0, 0)s"
2017-04-26 18:42:04.138568,10.0.0.13,10.0.0.12,"(10, 0, 0)s"
2017-04-26 18:42:06.212213,10.0.0.13,10.0.0.12,"(12, 0, 0)s"
2017-04-26 18:42:08.286679,10.0.0.13,10.0.0.12,"(14, 0, 0)s"
2017-04-26 18:42:10.368855,10.0.0.13,10.0.0.12,"(16, 0, 0)s"
2017-04-26 18:42:12.449151,10.0.0.13,10.0.0.12,"(18, 0, 0)s"
2017-04-26 18:42:14.528612,10.0.0.13,10.0.0.12,"(20, 0, 0)s"
2017-04-26 18:42:16.609730,10.0.0.13,10.0.0.12,"(22, 0, 0)s"
2017-04-26 18:42:18.688759,10.0.0.13,10.0.0.12,"(24, 0, 0)s"
2017-04-26 18:42:20.752664,10.0.0.13,10.0.0.12,"(27, 0, 0)s"
2017-04-26 18:42:24.822843,10.0.0.13,10.0.0.12,"(31, 0, 0)s"
2017-04-26 18:42:28.887098,10.0.0.13,10.0.0.12,"(35, 0, 0)s"
